"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"P12_001N"," !!Total:"
"P12_002N"," !!Total:!!Male:"
"P12_003N"," !!Total:!!Male:!!Under 5 years"
"P12_004N"," !!Total:!!Male:!!5 to 9 years"
"P12_005N"," !!Total:!!Male:!!10 to 14 years"
"P12_006N"," !!Total:!!Male:!!15 to 17 years"
"P12_007N"," !!Total:!!Male:!!18 and 19 years"
"P12_008N"," !!Total:!!Male:!!20 years"
"P12_009N"," !!Total:!!Male:!!21 years"
"P12_010N"," !!Total:!!Male:!!22 to 24 years"
"P12_011N"," !!Total:!!Male:!!25 to 29 years"
"P12_012N"," !!Total:!!Male:!!30 to 34 years"
"P12_013N"," !!Total:!!Male:!!35 to 39 years"
"P12_014N"," !!Total:!!Male:!!40 to 44 years"
"P12_015N"," !!Total:!!Male:!!45 to 49 years"
"P12_016N"," !!Total:!!Male:!!50 to 54 years"
"P12_017N"," !!Total:!!Male:!!55 to 59 years"
"P12_018N"," !!Total:!!Male:!!60 and 61 years"
"P12_019N"," !!Total:!!Male:!!62 to 64 years"
"P12_020N"," !!Total:!!Male:!!65 and 66 years"
"P12_021N"," !!Total:!!Male:!!67 to 69 years"
"P12_022N"," !!Total:!!Male:!!70 to 74 years"
"P12_023N"," !!Total:!!Male:!!75 to 79 years"
"P12_024N"," !!Total:!!Male:!!80 to 84 years"
"P12_025N"," !!Total:!!Male:!!85 years and over"
"P12_026N"," !!Total:!!Female:"
"P12_027N"," !!Total:!!Female:!!Under 5 years"
"P12_028N"," !!Total:!!Female:!!5 to 9 years"
"P12_029N"," !!Total:!!Female:!!10 to 14 years"
"P12_030N"," !!Total:!!Female:!!15 to 17 years"
"P12_031N"," !!Total:!!Female:!!18 and 19 years"
"P12_032N"," !!Total:!!Female:!!20 years"
"P12_033N"," !!Total:!!Female:!!21 years"
"P12_034N"," !!Total:!!Female:!!22 to 24 years"
"P12_035N"," !!Total:!!Female:!!25 to 29 years"
"P12_036N"," !!Total:!!Female:!!30 to 34 years"
"P12_037N"," !!Total:!!Female:!!35 to 39 years"
"P12_038N"," !!Total:!!Female:!!40 to 44 years"
"P12_039N"," !!Total:!!Female:!!45 to 49 years"
"P12_040N"," !!Total:!!Female:!!50 to 54 years"
"P12_041N"," !!Total:!!Female:!!55 to 59 years"
"P12_042N"," !!Total:!!Female:!!60 and 61 years"
"P12_043N"," !!Total:!!Female:!!62 to 64 years"
"P12_044N"," !!Total:!!Female:!!65 and 66 years"
"P12_045N"," !!Total:!!Female:!!67 to 69 years"
"P12_046N"," !!Total:!!Female:!!70 to 74 years"
"P12_047N"," !!Total:!!Female:!!75 to 79 years"
"P12_048N"," !!Total:!!Female:!!80 to 84 years"
"P12_049N"," !!Total:!!Female:!!85 years and over"
