sensor_index,sensor_name,date_created,private,location_type,latitude,longitude
3499,Ukrainian Village,2017-09-20 21:13:03,0,0,41.8927,-87.68569
4395,West Rogers Park,2017-11-17 02:56:56,0,0,41.99568,-87.69189
4404,Mulford Manor,2017-11-17 02:57:51,0,0,42.02362,-87.76341
5588,1138 PLYMOUTH,2017-12-27 00:49:23,0,0,41.86889,-87.62943
5774,LVEJO_5,2018-01-03 00:18:30,0,0,41.84035,-87.73412
6546,West of St Ann School,2018-01-26 02:50:16,0,1,41.85661,-87.6818
7920,LVEJO_5,2018-02-23 21:28:44,0,0,41.84948,-87.69537
8476,SASA_PA2_SL_W,2018-03-09 20:40:13,0,0,41.86121,-87.62989
36901,ODE,2019-08-08 16:51:12,0,1,41.88437,-87.61652
39173,West Lawn,2019-09-17 19:43:13,0,0,41.76776,-87.73013
41581,"Otis, Chicago",2019-11-15 22:07:46,0,0,41.861,-87.6632
43955,6147 N Maplewood Living Room,2019-12-13 20:31:56,0,1,41.99368,-87.6932
45079,Mulford in,2019-12-30 16:54:39,0,1,42.0225,-87.76374
45359,Beke-Sato Office,2020-01-02 19:50:31,0,1,41.99365,-87.69304
51933,Gladstone Park,2020-04-09 20:27:04,0,0,41.98188,-87.7778
52011,CPS Burr Elem,2020-04-09 22:50:06,0,0,41.91195,-87.66863
56135,West Humboldt Park,2020-05-20 21:32:08,0,0,41.90253,-87.73614
57579,Edgewater Condo Indoor,2020-06-11 18:26:59,0,1,41.99175,-87.65723
87741,Ukrainian Village Chicago,2020-11-02 18:05:59,0,0,41.90011,-87.68288
94003,38th and Damen,2020-12-14 18:33:26,0,0,41.82482,-87.67512
96035,36th and Paulina,2020-12-22 22:25:49,0,0,41.82865,-87.66791
96079,45th and Ashland,2020-12-22 22:33:03,0,0,41.81229,-87.66579
96269,"S Franciso Ave, W Pershing rd Intersection",2020-12-23 18:44:33,0,0,41.82272,-87.69708
96933,wrightwood-drake,2020-12-29 22:29:57,0,0,41.9274,-87.71574
101643,NEIU-1.2,2021-03-18 15:54:15,0,0,41.98028,-87.71708
109598,Hubbard &amp; May,2021-06-18 22:58:16,0,0,41.89003,-87.65576
113494,LVEJO,2021-07-09 20:26:20,0,0,41.84669,-87.70752
123003,LUC Malibu,2021-08-25 21:06:05,0,0,41.99112,-87.65471
124513,Space &amp; Time,2021-08-31 21:41:18,0,1,41.95386,-87.71078
124649,LUC_CARE 2,2021-08-31 21:51:16,0,0,41.68474,-87.53683
124677,LUC_CARE8,2021-08-31 21:54:51,0,0,41.99066,-87.66854
124679,LUC_CARE3,2021-08-31 21:54:55,0,0,41.74125,-87.55403
124685,LUC_CARE 9,2021-08-31 21:55:19,0,0,41.99153,-87.6575
124715,NEIU-IN-1.1,2021-08-31 21:58:35,0,1,41.98033,-87.71664
124737,LUC_CARE6,2021-08-31 22:04:31,0,0,41.99443,-87.66211
124747,LUC_CARE7,2021-08-31 22:05:07,0,0,41.99469,-87.67048
124759,NEIU-IN-2.1,2021-08-31 22:11:22,0,1,41.98036,-87.71658
128349,"South Deering, Chicago 60617",2021-09-17 20:52:59,0,0,41.7118,-87.55293
133664,Prairieone,2021-10-19 23:12:05,0,1,41.8595,-87.6205
137622,LUC BVM Indoor,2021-11-12 22:38:07,0,1,41.99812,-87.65649
140102,Archer and 39th Pl,2021-12-08 17:56:48,0,0,41.82193,-87.69146
140390,"1742 w Winona st, Chicago, IL 60640",2021-12-09 23:26:55,0,1,41.97526,-87.67274
147803,14th &amp; 51st Ct,2022-05-26 16:27:04,0,0,41.86173,-87.75328
147811,54th Ct &amp; 31st St,2022-05-26 16:29:08,0,0,41.83537,-87.75943
148029,St. Louis &amp; Addison,2022-05-27 18:55:39,0,0,41.9475,-87.71516
149572,IIT Alumni Memorial Hall,2022-06-15 21:31:13,0,0,41.83628,-87.62723
150042,LUC BVM,2022-06-17 21:32:24,0,0,41.99813,-87.65679
150066,LUC Doyle Hall,2022-06-20 17:58:18,0,0,42.00173,-87.65813
151082,Loyola LSC Shuttle Bus Stop,2022-06-24 22:48:15,0,0,41.99897,-87.65796
151188,Loyola WTC Shuttle Bus Stop,2022-06-27 16:46:30,0,0,41.89734,-87.62692
166645,LUC Lewis Library,2022-10-12 18:39:19,0,1,41.89737,-87.6273
168725,Buena,2022-10-27 17:01:44,0,1,41.9582,-87.65544
169187,Rise Gardens Office,2022-10-31 21:16:20,0,1,41.96392,-87.67387
171015,LUC_CARE_indoor2,2022-11-18 19:25:40,0,1,41.99149,-87.65756
171075,LUC_CARE_indoor1,2022-11-18 19:41:58,0,1,41.99466,-87.66132
175227,NEIU-3.3,2023-02-27 20:01:09,0,0,41.98026,-87.71705
175921,Pilsen - Loomis St.,2023-03-07 17:40:47,0,0,41.85944,-87.66145
176899,R5-ARD-SL1313,2023-03-15 17:26:40,0,1,41.878,-87.6305
